Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
South Dakota St.,53,36,17,0,1424,392,76,12,41,287,44,10,205,29,10,5,351.1,200,177,3.53,177,130,24,7,1054,498,40,21,No,No,Summit,1,0
South Fla.,57,40,17,0,1442,358,50,7,23,187,69,21,146,22,17,35,404,125,114,1.98,358,117,41,18,1212,319,41,12,Auto,No,AAC,3,0
Southeast Mo. St.,61,45,16,0,1601,489,78,23,72,359,85,28,176,47,11,29,396,189,147,2.6,322,138,28,14,1188,362,55,22,Auto,No,OVC,1,0
Southeastern La.,57,34,23,0,1545,465,73,14,19,300,227,29,176,21,14,49,392.1,191,154,2.75,151,124,25,10,1177,535,74,15,No,No,Southland,1,0
Southern Ill.,46,33,13,0,1189,362,54,4,44,257,43,10,164,40,13,45,314.2,135,119,2.65,222,94,20,10,944,349,25,12,At-large,No,MVC,2,0
Southern Miss.,52,30,22,0,1351,386,76,8,31,246,64,6,162,23,16,32,343.1,152,116,2.37,237,103,32,10,1030,362,45,11,No,No,C-USA,1,0
Southern U.,35,8,27,0,858,197,21,2,3,89,48,16,92,10,4,36,228.2,162,119,3.64,143,87,14,1,686,284,73,4,No,No,SWAC,1,0
Southern Utah,40,6,34,0,1066,293,50,5,22,158,24,10,70,31,4,38,255,304,247,6.78,66,136,32,0,765,336,60,20,No,No,Big Sky,1,0
St. Bonaventure,45,9,36,0,1119,269,47,7,14,135,55,9,104,23,6,15,274.2,326,260,6.63,151,152,29,0,824,291,69,11,No,No,Atlantic 10,1,0
St. John's (NY),48,26,22,0,1241,354,66,7,47,244,71,22,154,33,9,24,317,260,199,4.39,245,182,26,6,951,270,57,11,No,No,Big East,1,0
Stanford,50,32,18,0,1258,349,61,25,28,233,40,8,155,35,11,19,329,195,158,3.36,215,115,28,6,987,349,51,17,At-large,No,Pac-12,5,3
Stetson,47,16,31,0,1217,294,36,3,8,137,77,20,119,27,10,29,318,233,151,3.32,119,114,28,4,954,407,60,11,No,No,Atlantic Sun,1,0
Stony Brook,51,32,19,0,1364,395,78,4,50,250,29,11,154,27,12,28,339.2,155,120,2.47,241,74,16,10,1019,385,57,10,No,No,America East,1,0
Syracuse,53,21,32,0,1284,338,73,14,27,234,47,14,158,39,13,25,322.2,280,216,4.69,301,209,44,6,968,321,59,12,No,No,ACC,5,1
Tennessee,53,39,14,0,1361,420,65,9,45,319,57,8,169,38,13,20,338.1,125,111,2.3,369,95,21,12,1015,292,30,8,At-large,No,SEC,13,6
Tennessee St.,42,13,29,0,1088,271,35,6,13,128,35,9,102,24,8,21,278.1,240,169,4.25,104,95,22,2,835,408,71,17,No,No,OVC,1,0
Tennessee Tech,45,18,27,0,1188,287,42,4,40,178,34,12,96,23,6,6,296.2,233,181,4.27,193,150,23,6,890,341,58,9,No,No,OVC,1,0
Texas,55,41,14,0,1403,432,86,13,34,286,56,12,150,28,10,33,352.1,109,86,1.71,377,95,21,20,1057,392,51,16,At-large,No,Big 12,4,3
Texas A&M,53,28,25,0,1328,368,51,6,32,240,40,4,144,33,26,31,347.2,230,188,3.79,207,172,31,7,1043,467,56,26,At-large,No,SEC,13,6
Texas Southern,52,25,27,0,1333,356,58,14,26,194,42,12,129,14,12,34,339,245,178,3.68,214,129,23,7,1011,364,80,5,No,No,SWAC,1,0
Texas St.,54,29,25,0,1357,354,60,6,27,237,92,11,221,35,10,50,353.1,209,179,3.55,216,114,16,9,1060,356,55,15,No,No,Sun Belt,1,0
Texas Tech,53,39,14,0,1369,449,71,15,64,336,81,18,186,26,15,24,339.1,172,152,3.14,318,162,35,11,1018,351,39,15,At-large,No,Big 12,4,3
Toledo,55,29,26,0,1449,386,75,3,40,248,38,12,182,49,14,27,365,258,205,3.93,297,210,63,6,1095,376,56,10,Auto,No,MAC,1,0
Towson,54,27,27,0,1435,392,84,16,33,253,48,7,164,21,17,18,357,232,182,3.57,292,166,38,5,1071,329,58,9,No,No,CAA,1,0
Troy,57,37,20,0,1466,386,69,4,25,230,41,7,183,61,9,49,385.1,177,151,2.74,352,127,28,10,1156,280,39,14,No,No,Sun Belt,1,0
Tulsa,53,35,18,0,1408,382,64,8,26,233,41,9,157,38,11,12,357,185,139,2.73,272,120,24,9,1071,417,67,14,At-large,No,AAC,3,0
UAB,50,19,31,0,1363,396,84,8,25,218,32,6,99,42,12,10,324.2,249,202,4.36,216,164,38,2,974,369,57,26,No,No,C-USA,1,0
UC Davis,53,39,14,0,1375,381,58,10,34,249,45,11,149,18,15,32,357.2,122,95,1.86,342,118,37,16,1073,307,43,16,No,No,Big West,1,0
UC Riverside,51,26,25,0,1307,357,58,7,24,207,32,7,132,42,9,21,337,242,197,4.09,183,166,31,4,1011,394,48,14,No,No,Big West,1,0
UC Santa Barbara,52,10,42,0,1388,357,38,10,3,136,17,8,89,19,9,29,336.2,267,214,4.45,178,145,44,1,1010,363,59,12,No,No,Big West,1,0
UCF,55,34,21,0,1407,366,77,10,16,191,64,17,146,27,11,45,380.1,133,102,1.88,294,131,27,10,1141,359,56,12,No,No,AAC,3,0
UCLA,51,46,5,0,1382,476,78,11,60,357,57,5,168,21,14,16,330,79,65,1.38,410,71,35,18,990,279,35,13,Auto,Yes,Pac-12,5,3
UConn,50,21,29,0,1328,342,54,2,28,194,30,8,127,17,9,16,326.2,177,147,3.15,283,139,17,8,980,264,52,12,No,No,AAC,3,0
UIC,55,32,23,0,1434,463,75,11,51,337,78,11,188,16,13,32,339.2,249,205,4.22,179,182,39,12,1019,450,58,27,No,No,Horizon,1,0
UMass Lowell,48,28,20,0,1310,351,63,5,42,213,26,4,144,24,16,13,322,196,159,3.46,171,108,8,6,966,404,52,12,No,No,America East,1,0
