Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Portland St.,52,18,34,0,1354,354,54,10,28,202,43,8,,,,,331.2,294,240,5.07,209,154,,995,333,56,18,No,No,Big Sky,1,0
Prairie View,41,20,21,0,1053,291,40,6,17,178,49,14,,,,,265.1,197,167,4.41,122,108,,794,289,42,6,Auto,No,SWAC,1,0
Presbyterian,46,4,42,0,1143,240,30,2,8,97,22,3,,,,,282,290,227,5.63,142,110,,846,352,82,11,No,No,Big South,1,0
Princeton,39,10,29,0,1024,278,42,7,14,137,39,10,,,,,246.2,248,216,6.13,118,185,,740,281,39,13,No,No,Ivy,1,0
Providence,45,13,32,0,1149,265,48,6,24,145,37,10,,,,,297.2,213,177,4.16,149,128,,893,423,53,11,No,No,Big East,1,0
Purdue,56,16,40,0,1439,345,47,4,25,170,18,10,,,,,362.1,310,263,5.08,235,233,,1086,350,59,10,No,No,Big Ten,5,0
Purdue Fort Wayne,54,19,35,0,1409,350,61,5,25,210,40,10,,,,,349,298,232,4.65,211,185,,1046,394,73,17,No,No,Summit,1,0
Quinnipiac,51,22,29,0,1319,364,82,12,31,208,21,8,,,,,323.2,247,172,3.72,230,153,,971,346,59,13,No,No,MAAC,1,0
Radford,55,36,19,0,1506,396,77,8,41,257,61,9,,,,,375.2,161,134,2.5,226,69,,1127,514,54,24,No,No,Big South,1,0
Rhode Island,47,12,35,0,1212,248,52,4,14,111,36,6,,,,,311.1,234,188,4.23,224,130,,934,331,70,13,No,No,Atlantic 10,1,0
Rider,50,17,33,0,1352,369,60,13,18,239,25,4,,,,,324.1,269,196,4.23,200,153,,973,465,89,14,No,No,MAAC,1,0
